, I
water, shall
waters, gushed
watery, grave
waves, of
way, for
ways, of
we, know
weak, for
weakness, which
weary, me
well, as
went, forth
were, manifest
west, and
what, they
whatsoever, he
when, thou
whence, it
where, have
whereby, they
wherefore, he
wherewith, to
which, have
while, we
whit, and
white, robe
whiteness, of
whither, they
who, must
whole, heart
whom, Moses
whore, who
whose, fruit
whoso, shall
why, is
wicked, shall
wickedly, shall
wickedness, of
wife, with
wild, animals
wilderness, by
will, repent
willing, to
wilt, thou
wind, for
winds, did
wine, and
wisdom, thereof
wise, purposes
with, their
wither, before
withhold, their
within, the
without, murmurings
witness, and
witnessed, him
wives, began
wo, be
woman, forget
womb, Yea
women, have
wonders, and
wood, a
word, which
words, of
wordsthey, set
work, among
worketh, many
workings, in
workmanship, thereof
works, have
world, and
worship, because
worth, unto
worthy, to
would, that
wouldst, deal
wrath, must
wrist, and
write, anything
writing, which
written, upon
wroth, and
wrought, upon
ye, shall
yea, in
year, there
years, for
yesterday, today
yet, concerning
yieldeth, himself
yoke, of
yoketh, them
you, that
young, having
younger, brother
your, God
yourselves, They
