WordCounter 1Nephi.txt
obtain => 14
sea => 14
tent => 14
wars => 14
write => 14
Jacob => 13
One => 13
Redeemer => 13
bring => 13
could => 13
end => 13
engraven => 13
mouth => 13
name => 13
plain => 13
promise => 13
prophets => 13
read => 13
records => 13
river => 13
sons => 13
taken => 13
themselves => 13
water => 13
wicked => 13
Messiah => 12
Moses => 12
bear => 12
both => 12
can => 12
cometh => 12
devil => 12
eyes => 12
hand => 12
having => 12
keep => 12
known => 12
righteousness => 12
rod => 12
she => 12
towards => 12
Lehi => 11
covenants => 11
darkness => 11
fire => 11
given => 11
gospel => 11
hearken => 11
heart => 11
meaneth => 11
return => 11
see => 11
servant => 11
sought => 11
took => 11
true => 11
apostles => 10
beginning => 10
blessed => 10
cannot => 10
destroyed => 10
every => 10
faith => 10
first => 10
hard => 10
himself => 10
inheritance => 10
iron => 10
language => 10
nevertheless => 10
show => 10
slain => 10
stood => 10
truth => 10
Ghost => 9
Nevertheless => 9
Red => 9
Sea => 9
Son => 9
afflictions => 9
angry => 9
brother => 9
city => 9
daughters => 9
driven => 9
fear => 9
filled => 9
fine => 9
gold => 9
gone => 9
hear => 9
heavens => 9
kindreds => 9
kingdom => 9
lost => 9
neither => 9
old => 9
place => 9
prepared => 9
promised => 9
remnant => 9
soul => 9
suffer => 9
surely => 9
tents => 9
wickedness => 9
wrath => 9
years => 9
The => 8
Thou => 8
abominations => 8
art => 8
bow => 8
broken => 8
building => 8
cause => 8
declared => 8
delivered => 8
depths => 8
desirous => 8
dream => 8
flee => 8
forever => 8
full => 8
fulness => 8
how => 8
kept => 8
knowledge => 8
lest => 8
near => 8
needs => 8
remember => 8
rock => 8
silver => 8
slay => 8
sword => 8
than => 8
until => 8
white => 8
whose => 8
Jew => 7
Therefore => 7
What => 7
another => 7
back => 7
ball => 7
believe => 7
blood => 7
build => 7
cease => 7
destroy => 7
dwell => 7
faithful => 7
families => 7
family => 7
feet => 7
fell => 7
filthy => 7
harden => 7
head => 7
high => 7
iniquity => 7
joy => 7
judgment => 7
keeping => 7
last => 7
let => 7
lifted => 7
manifest => 7
need => 7
others => 7
partake => 7
presence => 7
reign => 7
saved => 7
showed => 7
smite => 7
spacious => 7
strength => 7
suffered => 7
through => 7
valley => 7
what => 7
whither => 7
Joseph => 6
Sam => 6
beholdest => 6
body => 6
confounded => 6
deliver => 6
desirable => 6
diligence => 6
dwelt => 6
exhort => 6
fall => 6
fight => 6
find => 6
follow => 6
fountain => 6
genealogy => 6
hardness => 6
her => 6
isles => 6
journey => 6
journeyed => 6
large => 6
lead => 6
mighty => 6
nation => 6
olive => 6
part => 6
parts => 6
prayed => 6
preserve => 6
prophecies => 6
rebel => 6
received => 6
rejoice => 6
repent => 6
salvation => 6
seest => 6
set => 6
shown => 6
suppose => 6
temporal => 6
testified => 6
therefore => 6
thine => 6
times => 6
traveled => 6
truly => 6
two => 6
unbelief => 6
very => 6
vision => 6
well => 6
while => 6
whore => 6
wife => 6
without => 6
works => 6
worth => 6
yet => 6
younger => 6
Abraham => 5
Father => 5
How => 5
accomplish => 5
any => 5
beasts => 5
bondage => 5
brothers => 5
built => 5
carry => 5
chosen => 5
commandment => 5
covenant => 5
cut => 5
declare => 5
departed => 5
desired => 5
elder => 5
far => 5
forward => 5
fulfilled => 5
fulfilling => 5
gather => 5
gave => 5
glory => 5
harlots => 5
heaven => 5
hell => 5
hid => 5
humble => 5
judged => 5
kind => 5
lands => 5
lay => 5
left => 5
loosed => 5
marvelous => 5
merciful => 5
mountains => 5
myself => 5
naught => 5
nor => 5
open => 5
ore => 5
perhaps => 5
pitch => 5
prepare => 5
preserved => 5
proceed => 5
proceeded => 5
raise => 5
rejected => 5
representation => 5
round => 5
ruler => 5
rumors => 5
saints => 5
same => 5
seeds => 5
seek => 5
soften => 5
sorrowful => 5
speaking => 5
swallowed => 5
thanks => 5
three => 5
tongues => 5
travel => 5
turn => 5
unclean => 5
walls => 5
ways => 5
wild => 5
worship => 5
wrought => 5
Amen => 4
Babylon => 4
Egypt => 4
Egyptians => 4
In => 4
Sariah => 4
Savior => 4
These => 4
Thus => 4
We => 4
Zion => 4
Zoram => 4
able => 4
arm => 4
arms => 4
arose => 4
awful => 4
bade => 4
baptized => 4
battle => 4
become => 4
borders => 4
branches => 4
call => 4
choice => 4
churches => 4
contentions => 4
created => 4
curse => 4
descending => 4
digged => 4
doth => 4
drowned => 4
durst => 4
dust => 4
established => 4
ever => 4
everlasting => 4
fallen => 4
filthiness => 4
forget => 4
forgotten => 4
formation => 4
found => 4
four => 4
garments => 4
generations => 4
grieved => 4
hearkened => 4
heed => 4
holy => 4
inasmuch => 4
justice => 4
kings => 4
law => 4
light => 4
live => 4
look => 4
manifested => 4
mercy => 4
ministry => 4
mist => 4
mountain => 4
natural => 4
nearly => 4
never => 4
night => 4
only => 4
overcome => 4
path => 4
peace => 4
perished => 4
persuade => 4
places => 4
praise => 4
proceedings => 4
property => 4
prophesied => 4
prosper => 4
provisions => 4
remainder => 4
returned => 4
sat => 4
sent => 4
shouldst => 4
small => 4
smitten => 4
some => 4
spirit => 4
spiritual => 4
state => 4
stones => 4
terrible => 4
treasury => 4
tremble => 4
virgin => 4
whoso => 4
wither => 4
womb => 4
workmanship => 4
Bountiful => 3
Do => 3
Eternal => 3
Hearken => 3
If => 3
Isaac => 3
It => 3
Judah => 3
Knowest => 3
Neither => 3
Satan => 3
That => 3
They => 3
Thy => 3
Zedekiah => 3
Zenos => 3
across => 3
afflicted => 3
affliction => 3
alone => 3
along => 3
angels => 3
anger => 3
apostle => 3
ashamed => 3
aside => 3
bands => 3
baptize => 3
beautiful => 3
bind => 3
bless => 3
blindness => 3
books => 3
bows => 3
branch => 3
break => 3
brightness => 3
captive => 3
caught => 3
child => 3
cities => 3
command => 3
commencement => 3
construct => 3
contend => 3
continually => 3
course => 3
cried => 3
dark => 3
death => 3
depart => 3
desolate => 3
diligently => 3
divided => 3
drunken => 3
dwindle => 3
enter => 3
exceed => 3
fair => 3
favored => 3
feed => 3
feeling => 3
fifty => 3
fled => 3
following => 3
founder => 3
get => 3
gift => 3
glad => 3
going => 3
goodness => 3
ground => 3
hardened => 3
hereafter => 3
hither => 3
hold => 3
hunger => 3
imaginations => 3
inhabitants => 3
its => 3
judge => 3
judgments => 3
king => 3
kingdoms => 3
labor => 3
latter => 3
leadeth => 3
learning => 3
leave => 3
long => 3
loss => 3
love => 3
making => 3
meaning => 3
means => 3
mention => 3
mightier => 3
minds => 3
minister => 3
molten => 3
multitude => 3
mysteries => 3
notwithstanding => 3
number => 3
oath => 3
obedient => 3
obtained => 3
parents => 3
partaking => 3
partook => 3
passed => 3
paths => 3
pit => 3
possess => 3
poured => 3
pray => 3
pressing => 3
pride => 3
probation => 3
prophesy => 3
purpose => 3
purposes => 3
put => 3
reason => 3
receive => 3
remembered => 3
right => 3
sake => 3
servants => 3
shake => 3
shoulders => 3
singing => 3
sins => 3
smote => 3
son => 3
soon => 3
sorrow => 3
speedily => 3
strange => 3
such => 3
suffereth => 3
supposed => 3
surety => 3
sweet => 3
tarry => 3
tasted => 3
tempest => 3
temptations => 3
tender => 3
thirst => 3
thither => 3
thought => 3
throne => 3
timbers => 3
tools => 3
trample => 3
tribes => 3
under => 3
understanding => 3
utter => 3
vain => 3
vapor => 3
visionary => 3
wandered => 3
waste => 3
whatsoever => 3
wherewith => 3
whiteness => 3
why => 3
wilt => 3
wisdom => 3
wives => 3
women => 3
writing => 3
young => 3
yourselves => 3
A => 2
Almighty => 2
Blessed => 2
Chaldeans => 2
Go => 2
He => 2
Hosts => 2
Isaiah => 2
Jeremiah => 2
Jordan => 2
Let => 2
Mighty => 2
Nay => 2
Nazareth => 2
Our => 2
Pharaoh => 2
Shazer => 2
Then => 2
Ye => 2
abroad => 2
abundance => 2
arise => 2
armies => 2
arrow => 2
arrows => 2
attitude => 2
bare => 2
bearing => 2
beauty => 2
begin => 2
believing => 2
bellows => 2
belongeth => 2
better => 2
beyond => 2
blind => 2
blow => 2
borne => 2
bound => 2
bowels => 2
buried => 2
burned => 2
burnt => 2
captives => 2
caused => 2
chastened => 2
clothing => 2
comforted => 2
commence => 2
compared => 2
compass => 2
complain => 2
complained => 2
concourses => 2
condescension => 2
contain => 2
contained => 2
convincing => 2
cords => 2
covenanted => 2
cross => 2
cry => 2
curious => 2
dead => 2
deliverance => 2
descendant => 2
desire => 2
desires => 2
desirest => 2
destroyeth => 2
devils => 2
died => 2
direction => 2
directions => 2
discover => 2
divide => 2
doings => 2
dominion => 2
dreamed => 2
dreary => 2
dressed => 2
dry => 2
due => 2
dwindled => 2
either => 2
elders => 2
eldest => 2
emptied => 2
endure => 2
engravings => 2
err => 2
establish => 2
eternal => 2
exceeding => 2
exclaim => 2
excuse => 2
expedient => 2
fast => 2
feared => 2
fertile => 2
few => 2
field => 2
fiery => 2
final => 2
fingers => 2
fold => 2
foolish => 2
forbidden => 2
forefathers => 2
forgive => 2
form => 2
foundation => 2
fourth => 2
frightened => 2
fro => 2
fruits => 2
further => 2
gain => 2
generation => 2
gives => 2
giveth => 2
goat => 2
goeth => 2
good => 2
grafted => 2
graven => 2
greater => 2
grief => 2
guide => 2
gulf => 2
happy => 2
hated => 2
heads => 2
healed => 2
heardest => 2
heeded => 2
honey => 2
household => 2
hundred => 2
image => 2
iniquities => 2
inquire => 2
journeyings => 2
knowest => 2
knoweth => 2
knowing => 2
lightnings => 2
liken => 2
linen => 2
liveth => 2
living => 2
loins => 2
loose => 2
loud => 2
loved => 2
loveth => 2
low => 2
master => 2
mayest => 2
mean => 2
meat => 2
meet => 2
mercies => 2
mightest => 2
ministered => 2
ministers => 2
morrow => 2
narrow => 2
new => 2
nothing => 2
nourishment => 2
numbered => 2
numberless => 2
nursing => 2
offer => 2
offerings => 2
oft => 2
ordained => 2
ourselves => 2
overpower => 2
pertaining => 2
plead => 2
pleasing => 2
pleasure => 2
pointing => 2
praising => 2
preached => 2
press => 2
prey => 2
profit => 2
prophesying => 2
provide => 2
pure => 2
purity => 2
quake => 2
quarters => 2
rent => 2
required => 2
restoration => 2
roads => 2
robe => 2
rocks => 2
rudeness => 2
sacred => 2
sacrifice => 2
sailed => 2
sand => 2
scarlets => 2
scourge => 2
seashore => 2
separated => 2
sheep => 2
sick => 2
side => 2
sign => 2
silks => 2
since => 2
six => 2
slayeth => 2
smoke => 2
smooth => 2
sojourn => 2
somewhat => 2
sore => 2
souls => 2
speaketh => 2
spirits => 2
springs => 2
stand => 2
standard => 2
stature => 2
steel => 2
still => 2
stir => 2
storm => 2
straight => 2
strait => 2
strive => 2
strong => 2
stubble => 2
stumble => 2
sufferings => 2
sufficeth => 2
sun => 2
swear => 2
swollen => 2
talked => 2
tarried => 2
taught => 2
teacher => 2
thinketh => 2
thrust => 2
thunderings => 2
told => 2
too => 2
touch => 2
tumble => 2
twined => 2
understood => 2
visit => 2
visited => 2
walk => 2
war => 2
whereby => 2
wickedly => 2
wind => 2
wine => 2
wise => 2
wo => 2
wroth => 2
year => 2
Adam => 1
After => 1
All => 1
Also => 1
Arise => 1
As => 1
Because => 1
Believest => 1
Bethabara => 1
Come => 1
Doth => 1
Eve => 1
Gospel => 1
Great => 1
Have => 1
Hear => 1
Hosanna => 1
Inasmuch => 1
Irreantum => 1
John => 1
Kings => 1
Know => 1
Lift => 1
Listen => 1
Mine => 1
Nahom => 1
Neum => 1
Never => 1
Prepare => 1
Rememberest => 1
Shepherd => 1
Show => 1
Sing => 1
Sinim => 1
Slay => 1
Stretch => 1
Surely => 1
To => 1
Upon => 1
Whither => 1
Who => 1
Why => 1
Wo => 1
Zenock => 1
abhorreth => 1
abide => 1
abomination => 1
abridged => 1
abridgment => 1
acceptable => 1
accomplished => 1
accord => 1
adversary => 1
age => 1
air => 1
almighty => 1
already => 1
altar => 1
always => 1
anguish => 1
animals => 1
ankles => 1
answered => 1
anyone => 1
anything => 1
appears => 1
armed => 1
armor => 1
arrive => 1
arrived => 1
arts => 1
ascendeth => 1
ask => 1
ass => 1
assemble => 1
astonishment => 1
asunder => 1
authority => 1
bank => 1
baptism => 1
beareth => 1
became => 1
beckoned => 1
bed => 1
beds => 1
beforehand => 1
begat => 1
begotten => 1
behalf => 1
behind => 1
believed => 1
believest => 1
belong => 1
belonged => 1
big => 1
bindeth => 1
bitten => 1
blade => 1
blessings => 1
blinded => 1
blindeth => 1
blocks => 1
bore => 1
born => 1
breathe => 1
bride => 1
bringeth => 1
bringing => 1
broad => 1
brow => 1
burst => 1
byword => 1
calm => 1
calves => 1
canst => 1
casting => 1
cavity => 1
ceaseth => 1
center => 1
changed => 1
chasten => 1
clave => 1
clinging => 1
clothe => 1
comfort => 1
coming => 1
commandeth => 1
commenced => 1
compassion => 1
complaining => 1
confound => 1
consider => 1
considered => 1
consisted => 1
consists => 1
constrained => 1
constraineth => 1
consult => 1
consumed => 1
consuming => 1
containeth => 1
contains => 1
contendeth => 1
continue => 1
cook => 1
copper => 1
counsels => 1
courage => 1
cow => 1
creation => 1
crept => 1
crossed => 1
crucified => 1
crucify => 1
cunning => 1
curseth => 1
cutteth => 1
dance => 1
darts => 1
daughter => 1
deal => 1
dealings => 1
deceive => 1
deed => 1
defer => 1
delivering => 1
deny => 1
descendants => 1
descended => 1
deserts => 1
desiring => 1
despised => 1
despiseth => 1
destroyers => 1
destructions => 1
devoured => 1
didst => 1
die => 1
difficult => 1
difficulty => 1
diligent => 1
dimmed => 1
disciples => 1
diseases => 1
disputations => 1
disputing => 1
divideth => 1
doctrine => 1
doing => 1
dominions => 1
door => 1
doubt => 1
dove => 1
dreams => 1
dress => 1
drew => 1
dried => 1
driving => 1
dwindling => 1
ear => 1
ears => 1
earthquakes => 1
easiness => 1
east => 1
eastward => 1
easy => 1
eight => 1
ends => 1
enemies => 1
energies => 1
energy => 1
enjoyed => 1
ensnare => 1
especially => 1
esteem => 1
esteemeth => 1
exalted => 1
example => 1
except => 1
execute => 1
exercise => 1
exhorting => 1
extended => 1
faculty => 1
faithfulness => 1
famine => 1
fatigue => 1
fatigued => 1
favor => 1
fears => 1
fed => 1
feel => 1
female => 1
finger => 1
finished => 1
firm => 1
firmament => 1
five => 1
flaming => 1
flight => 1
flow => 1
flying => 1
followed => 1
fool => 1
foot => 1
footstool => 1
forests => 1
forgiveness => 1
formed => 1
former => 1
forsaken => 1
founded => 1
frame => 1
frames => 1
frankly => 1
free => 1
fulfill => 1
fully => 1
furnace => 1
future => 1
gathereth => 1
gifts => 1
gird => 1
girded => 1
giving => 1
glorified => 1
glorious => 1
goodly => 1
grafting => 1
grain => 1
grave => 1
gravel => 1
greatest => 1
grey => 1
grievous => 1
groanings => 1
grow => 1
guilty => 1
gushed => 1
hadst => 1
hair => 1
hairs => 1
handed => 1
hardeneth => 1
harshness => 1
haste => 1
heat => 1
held => 1
helped => 1
henceforth => 1
heritages => 1
hidden => 1
hide => 1
highly => 1
highways => 1
hilt => 1
hiss => 1
history => 1
hitherto => 1
holding => 1
honor => 1
hope => 1
hopes => 1
horse => 1
hours => 1
humbled => 1
husband => 1
idleness => 1
idol => 1
immovable => 1
inhabit => 1
inhabited => 1
inherit => 1
inquired => 1
instruct => 1
instructed => 1
instruction => 1
intent => 1
interpretation => 1
interpreted => 1
itself => 1
joints => 1
journeying => 1
joyful => 1
joyous => 1
just => 1
justified => 1
keys => 1
kill => 1
kindness => 1
kindred => 1
knewest => 1
labored => 1
lacking => 1
laden => 1
laid => 1
latchet => 1
later => 1
lawful => 1
leading => 1
learned => 1
lick => 1
lie => 1
lies => 1
lift => 1
likened => 1
little => 1
lives => 1
lo => 1
loading => 1
loathsome => 1
lose => 1
lot => 1
lots => 1
loving => 1
lowliness => 1
lust => 1
luster => 1
lusts => 1
maketh => 1
male => 1
mankind => 1
manna => 1
matchless => 1
mattereth => 1
merry => 1
methought => 1
midst => 1
mind => 1
ministering => 1
miracles => 1
mists => 1
mixture => 1
mock => 1
mocking => 1
morning => 1
mothers => 1
mount => 1
mourn => 1
mourned => 1
move => 1
murderers => 1
murmured => 1
murmuring => 1
murmurings => 1
names => 1
nature => 1
nearer => 1
neck => 1
noises => 1
none => 1
noon => 1
north => 1
nourish => 1
nourished => 1
numbereth => 1
numbers => 1
nursed => 1
obey => 1
obliged => 1
obscurity => 1
obstinate => 1
obtaining => 1
occupy => 1
offering => 1
offspring => 1
ones => 1
opened => 1
opening => 1
oppress => 1
ornament => 1
ought => 1
overtake => 1
ox => 1
pacified => 1
pained => 1
palms => 1
parent => 1
partaken => 1
particular => 1
particularly => 1
past => 1
pastors => 1
pasture => 1
pastures => 1
perform => 1
period => 1
perishing => 1
pervert => 1
perverted => 1
pieces => 1
pillar => 1
pitched => 1
plainly => 1
plainness => 1
plains => 1
plant => 1
plenty => 1
point => 1
pointed => 1
pointers => 1
points => 1
polished => 1
polluted => 1
pondering => 1
popular => 1
possessed => 1
possessions => 1
possible => 1
powerful => 1
prayers => 1
praying => 1
preach => 1
preparator => 1
prepareth => 1
preparing => 1
present => 1
princes => 1
prison => 1
prisoners => 1
proceedeth => 1
proceeding => 1
prosperous => 1
protected => 1
proud => 1
publish => 1
pursue => 1
quaking => 1
queens => 1
quench => 1
quiver => 1
raiseth => 1
ran => 1
raw => 1
rebellion => 1
redeemed => 1
redemption => 1
reed => 1
refined => 1
refrain => 1
rehearse => 1
reigneth => 1
rejecting => 1
rejoiced => 1
rely => 1
remain => 1
rememberest => 1
remembrance => 1
remnants => 1
removing => 1
rend => 1
repented => 1
repenteth => 1
rest => 1
restore => 1
restored => 1
revile => 1
reviled => 1
riches => 1
ripe => 1
ripeness => 1
rise => 1
robber => 1
room => 1
rough => 1
rulers => 1
ruleth => 1
running => 1
safely => 1
sakes => 1
says => 1
scattering => 1
scoffing => 1
scorn => 1
scourged => 1
scriptures => 1
sealed => 1
search => 1
searched => 1
seat => 1
secret => 1
seeing => 1
seeketh => 1
seize => 1
sepulchre => 1
serpents => 1
shadow => 1
shaft => 1
shaken => 1
sharp => 1
sheath => 1
shed => 1
sheddeth => 1
shepherd => 1
shock => 1
shoes => 1
shore => 1
short => 1
shortly => 1
shrunk => 1
sight => 1
signs => 1
simpleness => 1
sinew => 1
sing => 1
sit => 1
sitting => 1
skins => 1
slaughters => 1
slaying => 1
sling => 1
slings => 1
slow => 1
snow => 1
soberness => 1
sold => 1
sooner => 1
soreness => 1
south => 1
southeast => 1
spanned => 1
spare => 1
speakest => 1
special => 1
spent => 1
spindles => 1
spiritually => 1
spit => 1
stall => 1
standeth => 1
stars => 1
statutes => 1
stay => 1
steadfast => 1
steer => 1
stick => 1
stiffneckedness => 1
stoned => 1
straiten => 1
straitened => 1
strengthen => 1
stretched => 1
stricken => 1
striving => 1
stumbling => 1
suck => 1
sucking => 1
suddenly => 1
suffering => 1
suffers => 1
sunk => 1
supposing => 1
surrounded => 1
swift => 1
taketh => 1
taking => 1
tasks => 1
teach => 1
teacheth => 1
tears => 1
tell => 1
telling => 1
tells => 1
temporally => 1
tens => 1
testify => 1
think => 1
thinking => 1
thirsted => 1
though => 1
thousands => 1
threatened => 1
threatenings => 1
throw => 1
thunder => 1
tidings => 1
till => 1
toiled => 1
tongue => 1
top => 1
torment => 1
tortureth => 1
transgressor => 1
transpired => 1
traveling => 1
treacherously => 1
treat => 1
tumbling => 1
tumultuous => 1
turned => 1
unavoidably => 1
understand => 1
unfolded => 1
unless => 1
unloose => 1
uprightly => 1
use => 1
utterly => 1
view => 1
vine => 1
virgins => 1
visions => 1
visiting => 1
wade => 1
wait => 1
wander => 1
wandering => 1
want => 1
wast => 1
watery => 1
waves => 1
weak => 1
weakness => 1
weary => 1
west => 1
whence => 1
where => 1
whit => 1
whole => 1
willing => 1
winds => 1
withhold => 1
within => 1
witness => 1
witnessed => 1
woman => 1
wonders => 1
wood => 1
worketh => 1
workings => 1
worthy => 1
wouldst => 1
wrist => 1
yesterday => 1
yieldeth => 1
yoke => 1
yoketh => 1

WordCounter harry_potter_book_1.txt
the => 3315
to => 1851
and => 1812
a => 1581
of => 1250
Harry => 1213
was => 1178
he => 1034
in => 935
his => 896
it => 805
said => 793
you => 736
had => 697
I => 654
on => 619
that => 582
at => 581
him => 495
He => 494
as => 484
they => 433
Ron => 410
with => 403
but => 375
be => 362
out => 362
up => 362
all => 349
for => 349
Hagrid => 336
were => 329
them => 324
The => 297
have => 288
back => 258
Hermione => 257
what => 245
from => 233
one => 231
It => 222
into => 219
about => 216
me => 215
been => 211
not => 206
this => 205
their => 204
there => 202
an => 201
off => 199
if => 198
didnt => 190
like => 189
could => 187
got => 186
know => 186
so => 186
get => 183
Professor => 181
down => 180
her => 176
she => 171
its => 170
looked => 169
over => 168
is => 165
They => 164
see => 162
just => 161
very => 161
do => 150
who => 149
Snape => 145
You => 144
by => 143
around => 141
Dumbledore => 140
when => 140
are => 136
going => 134
no => 134
your => 134
now => 124
Im => 121
think => 121
through => 119
time => 119
something => 118
hed => 117
then => 117
go => 116
Dudley => 115
we => 115
Harrys => 113
dont => 112
right => 112
Uncle => 111
never => 111
A => 110
And => 110
But => 110
Malfoy => 109
here => 109
first => 107
looking => 107
more => 107
Vernon => 105
door => 105
eyes => 104
would => 104
couldnt => 103
Neville => 102
again => 101
before => 101
look => 101
only => 101
too => 98
What => 97
head => 96
or => 96
McGonagall => 95
Potter => 95
thought => 94
yeh => 94
face => 93
than => 93
way => 93
did => 91
how => 91
Quirrell => 90
even => 90
room => 90
told => 90
next => 88
other => 88
still => 88
though => 86
my => 85
will => 85
because => 84
last => 84
which => 84
boy => 82
left => 82
people => 82
where => 82
Gryffindor => 81
us => 81
Mr => 80
two => 80
ter => 78
turned => 77
Hogwarts => 76
Ive => 75
came => 75
heard => 75
wasnt => 75
well => 75
behind => 74
house => 74
much => 74
can => 72
come => 72
say => 72
seemed => 72
some => 72
long => 71
toward => 71
went => 71
anything => 70
away => 70
really => 70
good => 69
hand => 69
want => 69
found => 68
There => 67
little => 67
once => 67
Well => 66
made => 66
suddenly => 66
tell => 66
bit => 65
himself => 65
Its => 64
three => 64
school => 63
trying => 63
wand => 63
knew => 62
saw => 62
took => 62
tried => 62
No => 61
Oh => 61
any => 61
take => 60
Quidditch => 59
asked => 59
day => 59
voice => 59
Petunia => 58
She => 58
ever => 58
old => 58
put => 58
cloak => 57
let => 56
open => 56
cant => 55
few => 55
black => 54
inside => 54
must => 54
Stone => 53
find => 53
hadnt => 53
seen => 53
Aunt => 52
Dursley => 52
Dursleys => 52
feet => 52
floor => 52
might => 52
things => 52
while => 52
So => 51
front => 51
large => 51
pulled => 51
years => 51
keep => 50
Wood => 49
after => 49
another => 49
end => 49
felt => 49
gone => 49
started => 49
thats => 49
All => 48
Slytherin => 48
Then => 48
hes => 48
make => 48
thing => 48
Filch => 47
If => 47
Weasley => 47
air => 47
almost => 47
enough => 47
lot => 47
moment => 47
wouldnt => 47
yer => 47
Mrs => 46
fell => 46
mind => 46
walked => 46
great => 45
letter => 45
night => 45
nothing => 45
sat => 45
How => 44
Ill => 44
called => 44
course => 44
dark => 44
done => 44
past => 44
points => 44
quickly => 44
saying => 44
until => 44
wanted => 44
This => 43
Yes => 43
already => 43
bed => 43
later => 43
name => 43
As => 42
At => 42
books => 42
owl => 42
read => 42
sure => 42
His => 41
Now => 41
second => 41
why => 41
without => 41
youre => 41
mirror => 39
stop => 39
across => 38
always => 38
being => 38
caught => 38
onto => 38
remember => 38
should => 38
table => 38
try => 38
under => 38
We => 37
When => 37
better => 37
every => 37
full => 37
gave => 37
new => 37
our => 37
reached => 37
stood => 37
wizard => 37
Madam => 36
Percy => 36
else => 36
everyone => 36
fire => 36
hair => 36
half => 36
kept => 36
same => 36
wall => 36
year => 36
hat => 35
high => 35
life => 35
outside => 35
stared => 35
whispered => 35
Dont => 34
Fred => 34
Hagrids => 34
broom => 34
ground => 34
hall => 34
hands => 34
magic => 34
mean => 34
place => 34
quite => 34
theyd => 34
top => 34
white => 34
ask => 33
coming => 33
doing => 33
each => 33
forest => 33
forward => 33
four => 33
man => 33
these => 33
whole => 33
yet => 33
Peeves => 32
Thats => 32
along => 32
anyone => 32
hear => 32
own => 32
silver => 32
small => 32
train => 32
window => 32
Id => 31
In => 31
getting => 31
happened => 31
has => 31
minutes => 31
morning => 31
nose => 31
side => 31
standing => 31
Voldemort => 30
against => 30
best => 30
green => 30
hard => 30
troll => 30
George => 29
Who => 29
both => 29
corridor => 29
hundred => 29
lost => 29
noticed => 29
o => 29
shouted => 29
stopped => 29
suppose => 29
talking => 29
big => 28
everything => 28
fer => 28
gold => 28
nearly => 28
need => 28
taken => 28
team => 28
work => 28
Great => 27
Gringotts => 27
Hes => 27
Not => 27
Snapes => 27
bad => 27
broomstick => 27
family => 27
father => 27
help => 27
most => 27
mother => 27
red => 27
theyre => 27
trouble => 27
Know => 26
able => 26
dragon => 26
five => 26
many => 26
sort => 26
werent => 26
yes => 26
Christmas => 25
Fluffy => 25
Why => 25
cold => 25
corner => 25
funny => 25
give => 25
holding => 25
light => 25
rest => 25
robes => 25
round => 25
sight => 25
sitting => 25
snapped => 25
straight => 25
Flamel => 24
Look => 24
feeling => 24
giant => 24
heart => 24
